,Area,Bairro,CEP,Cidade,DataAtualizacaoHumanizada,Endereco,Estado,FormatarSubTipoImovel,FormatarSubTipoOferta,Latitude,Longitude,PrecoCondominio,QuantidadeQuartos,QuantidadeSuites,QuantidadeVagas,SubTipo,SubTipoOferta,Tipo,UrlFicha,Valor,ValorIPTU,DataAtualizacaoEmDias,PrecoPorMetro
23,49,Itaipava,88316301,Itajaí,há 10 dias,Avenida Itaipava,SC,APARTAMENTO EM ITAIPAVA,Apartamento em ItaipavaApartamento em Itaipava para aluguel,-26.9449649,-48.7383587,224.0,2,0,1,1,Apartamento em Itaipava,1,http://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos--itaipava-itajai-sc-49m2-id-2454393828?paginaoferta=134,750.0,18.0,10,15.306122448979592
24,420,Centro,88301041,Itajaí,há 9 dias,Rua Felipe Schmidt,SC,CASA COMERCIAL EM CENTRO,Casa Comercial em CentroCasa Comercial em Centro para aluguel,-26.904736,-48.658541,0.0,0,0,0,2,Casa Comercial em Centro,1,http://www.zapimoveis.com.br/imovel/aluguel-casa-comercial--centro-itajai-sc-420m2-id-2450150038?paginaoferta=1,11000.0,4642.0,9,26.19047619047619
25,54,Centro,88301303,Itajaí,há 17 dias,Avenida Coronel Marcos Konder,SC,CONJUNTO COMERCIAL/SALA EM CENTRO,Conjunto Comercial/Sala em CentroConjunto Comercial/Sala em Centro para aluguel,-26.9115062,-48.6593567,651.0,0,0,0,2,Conjunto Comercial/Sala em Centro,1,http://www.zapimoveis.com.br/imovel/aluguel-conjunto-comercial-sala--centro-itajai-sc-54m2-id-2453098504?paginaoferta=1,1300.0,108.0,17,24.074074074074073
26,320,Centro,88302001,Itajaí,há 13 dias,Rua Brusque,SC,GALPÃO/DEPÓSITO/ARMAZÉM EM CENTRO,Galpão/Depósito/Armazém em CentroGalpão/Depósito/Armazém em Centro para aluguel,-26.9092893,-48.6640853,0.0,0,0,9,1,Galpão/Depósito/Armazém em Centro,1,http://www.zapimoveis.com.br/imovel/aluguel-galpao-deposito-armazem--centro-itajai-sc-320m2-id-2440817474?paginaoferta=123,6000.0,110.0,13,18.75
27,19,Centro,,Itajaí,há 1 mês,Endereço Não Informado,SC,QUITINETE EM CENTRO,Quitinete em CentroQuitinete em Centro para aluguel,0.0,0.0,0.0,1,0,0,2,Quitinete em Centro,1,http://www.zapimoveis.com.br/imovel/venda-quitinete-1-quarto-centro-itajai-sc-19m2-id-2427423406?paginaoferta=123,750.0,0.0,30,39.473684210526315
28,30,Fazenda,88302300,Itajaí,ontem,Rua Arnaldo José de Oliveira,SC,APARTAMENTO EM FAZENDA,Apartamento em FazendaApartamento em Fazenda para aluguel,-26.916383,-48.656675,0.0,1,0,1,1,Apartamento em Fazenda,1,http://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-fazenda-itajai-sc-30m2-id-2452135917?paginaoferta=125,900.0,0.0,1,30.0
29,50,Centro,88303130,Itajaí,há 15 dias,Rua Criciúma,SC,CONJUNTO COMERCIAL/SALA EM CENTRO,Conjunto Comercial/Sala em CentroConjunto Comercial/Sala em Centro para aluguel,-26.908716,-48.6677748,0.0,0,0,0,1,Conjunto Comercial/Sala em Centro,1,http://www.zapimoveis.com.br/imovel/aluguel-conjunto-comercial-sala-centro-itajai-sc-50m2-id-2452135721?paginaoferta=126,1300.0,0.0,15,26.0
30,63,São Judas,88303330,Itajaí,ontem,Rua São Paulo,SC,APARTAMENTO EM SÃO JUDAS,Apartamento em São JudasApartamento em São Judas para aluguel,-26.910794,-48.6766071,285.0,2,0,1,1,Apartamento em São Judas,1,http://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-churrasqueira-s-judas-itajai-sc-63m2-id-2449868999?paginaoferta=126,1300.0,31.0,1,20.634920634920636
31,3000,Itaipava,88316000,Itajaí,há 13 dias,Rodovia Antônio Heil,SC,GALPÃO/DEPÓSITO/ARMAZÉM EM ITAIPAVA,Galpão/Depósito/Armazém em ItaipavaGalpão/Depósito/Armazém em Itaipava para aluguel,-26.9225117,-49.0607072,0.0,0,0,15,1,Galpão/Depósito/Armazém em Itaipava,1,"http://www.zapimoveis.com.br/imovel/venda-galpao-deposito-armazem--itaipava-itajai-sc-3,000m2-id-2454939081?paginaoferta=121",40000.0,980.0,13,13.333333333333334
32,54,Centro,88301210,Itajaí,há 17 dias,Rua Gil Stein Ferreira,SC,CONJUNTO COMERCIAL/SALA EM CENTRO,Conjunto Comercial/Sala em CentroConjunto Comercial/Sala em Centro para aluguel,-26.9079378,-48.6606251,0.0,0,0,1,1,Conjunto Comercial/Sala em Centro,1,http://www.zapimoveis.com.br/imovel/aluguel-conjunto-comercial-sala-centro-itajai-sc-54m2-id-2452297685?paginaoferta=121,600.0,0.0,17,11.11111111111111
